jed,vrsta,cas priprave [min],zahtevnost,kolicina,st. porcij,avtor,datum,leto
Mesna štruca v peki papirju,sesekljano meso,75,2,,,borutdez,3.4.2013,2013
Toskanski medaljoni,svinjina,30,2,Za 4 osebe,4,pegasti,3.4.2013,2013
Piščančji sufle,perutnina,60,2,,,Horse,2.4.2013,2013
Moj piščančji kari (curry),ostalo,30,2,2,2,Queens,1.4.2013,2013
Piščančji file pod kruhovo skorjico..,perutnina,45,2,5 oseb,5,Vrtejbenka,26.3.2013,2013
Svinjska ribica s suhimi slivami in omako iz suhih sliv,svinjina,45,2,,,ZvonkaK,16.3.2013,2013
Kuhani čevapčiči,mešano meso,30,1,,,izpodnebnik,15.3.2013,2013
Zapečeno kislo zelje in ješprenj z mletim mesom,ostalo,180,1,Za 6 do 8 oseb.,,sarabande,13.3.2013,2013
Piščančje tortilje,perutnina,45,2,8 tortilj,,ajda1989,6.3.2013,2013
Zbiljski zrezek,govedina,120,2,,,zbilje,3.3.2013,2013
Zrezki v zelenjavo položeni,svinjina,90,2,3,3,senka,3.3.2013,2013
Mesne ruladice iz svinjskega mesa,svinjina,75,2,4 osebe,4,arepnik,3.3.2013,2013
Piščančja pita,perutnina,45,1,,,Kapcas,1.3.2013,2013
Mučenica,perutnina,75,2,za 2 osebi,2,icegirl86,26.2.2013,2013
Krompirjeva musaka po moje,sesekljano meso,60,1,,,tadejči,21.2.2013,2013
Piščančji zrezki s pestom,perutnina,30,2,,,anya_raikkonen,20.2.2013,2013
Ohrovtovi zvitki z mesom,govedina,60,3,za 4 osebe,4,bubaduda1,14.2.2013,2013
Puranji medaljoni s stročjim fižolom,perutnina,30,2,2 osebi,2,Cinnamon Stick,14.2.2013,2013
Shepherd's pie z brokolijem,govedina,60,2,4 osebe,4,SLONCICA,11.2.2013,2013
Goveja pečenka z gobami,govedina,45,2,za 4 osebe,4,Tomi D,7.2.2013,2013
Teletina s sojino omako,teletina,30,2,2-3,3,KatjekSun,5.2.2013,2013
Puranji zrezki v smetanovi omaki,perutnina,75,3,2 osebi,2,sančy,5.2.2013,2013
Kislo zelje s krvavico,koline,45,1,2 osebi,2,anamarijapetje,4.2.2013,2013
Piščančji file s kaprami v limonini omaki,perutnina,30,1,Za 2 osebi,2,sarabande,1.2.2013,2013
Svinjski zrezki s šampinjoni in olivami,svinjina,60,2,2,2,pikapolonica80,30.1.2013,2013
Svinjska ribica v  omaki,svinjina,30,2,,,zorrotomi,28.1.2013,2013
Nadevana puranja prsa,perutnina,120,2,,,miia,24.1.2013,2013
Mesno čebulna bomba,svinjina,150,3,,,moncy88,16.1.2013,2013
Zrezki v omaki,teletina,90,2,,,bulek123,7.1.2013,2013
Polpete za valentinovo,mešano meso,45,2,,,Galya,7.1.2013,2013
Goveji rep v omaki,govedina,240,1,Za 8 do 10 oseb.,,sarabande,7.1.2013,2013
Zrezki afrodiziak,teletina,60,2,4,4,Trixi,2.1.2013,2013
Okusen piščanec s šampinjoni ,perutnina,120,2,4 osebe ,4,domači_kuhar,30.12.2012,2012
Pastirska pita (shepherd pie),govedina,90,2,4,4,Chelsea,26.12.2012,2012
Piščanec v parmezanovi skorjici,perutnina,15,1,,,aryy,21.12.2012,2012
Biftek s črnim mletim tartufom,govedina,15,1,Za 8 oseb,8,ZiganteTartufi,21.12.2012,2012
Pečena pljučna pečenka na žaru z mletimi tartufi,govedina,15,3,,,tartufi_toskana,18.12.2012,2012
Piščanec v zelenjavni omaki,perutnina,90,3,2 osebi,2,sančy,17.12.2012,2012
Roastbeef v zeliščno-krušnem plačku,govedina,240,3,za 4 osebe,4,manca45,7.12.2012,2012
Pečenice v omaki iz piva,svinjina,45,2,za 4 osebe,4,ZvonkaK,3.12.2012,2012
Piščanec po italijansko,perutnina,45,2,1 oseba,1,OlivaB,28.11.2012,2012
Govedina v pivu,govedina,240,3,Za tri osebe,3,nola,26.11.2012,2012
"Piščančji zrezki, panirani s Panko drobtinami",perutnina,45,2,,,Dawn,23.11.2012,2012
Coq Au Vin,perutnina,120,1,4 lačne,,Vanja_v_ZDA,10.11.2012,2012
Piščanec z zelenjavo,perutnina,30,2,2 osebi,2,OlivaB,6.11.2012,2012
Klobasice malo drugače,mešano meso,30,2,,,frida13,2.11.2012,2012
Pečen riž s sojino mariniranim piščancem,perutnina,240,3,1-2 osebi,2,dark_lauron,31.10.2012,2012
Goveji zrezki nadevani s slanino in sirom,govedina,30,2,4,4,miram,29.10.2012,2012
Moja mesna omaka,mešano meso,60,2,4 osebe,4,arepnik,9.10.2012,2012
Piščančji file v parmezanovi skorjici,perutnina,15,1,za 4 osebe,4,aryy,8.10.2012,2012
Pita iz kruha in čevapčičev,mešano meso,45,2,za 4 osebe,4,brigita23,4.10.2012,2012
Polpete in mesne kroglice v omaki iz sveže paprike in paradižnika,sesekljano meso,60,3,za 4 osebe,4,nola,3.10.2012,2012
Svinjina v vinu,svinjina,45,2,za 2 osebi,2,Sheila,2.10.2012,2012
Goveji zrezki v korenčkovi omaki,govedina,120,2,4,4,redika,2.10.2012,2012
Pečen kostni mozeg,govedina,30,1,Za 2 osebi,2,sarabande,30.9.2012,2012
Crunchy chicken nugets,perutnina,45,2,4,4,Chef91,30.9.2012,2012
Pečeni polnjeni paradižniki,sesekljano meso,45,3,za 4 osebe,4,Ninanana_2,17.9.2012,2012
Tartufi s piščančjim mesom ali testeninami,perutnina,15,1,4 osebe,4,mamapega,17.9.2012,2012
Goveje s konjakom,govedina,75,3,4 OSEBE,4,jasminahb,12.9.2012,2012
Zapečen piščanec po moje,perutnina,60,2,8 kosov,8,maičko*,4.9.2012,2012
Ražnjiči z bučkami in arašidi,svinjina,45,2,za 4 osebe,4,miran the COOK,31.8.2012,2012
Piščančje prsi v pečici,perutnina,75,2,Za 4 osebe,4,ra_hela,20.8.2012,2012
Gyros po moje,perutnina,60,2,,,Jessicah,17.8.2012,2012
Oženjena kaša po moje,mešano meso,60,3,za 4 osebe,4,Mirfas,14.8.2012,2012
Svinjski zrezki s papriko in paradižnikovo omako,svinjina,30,1,,,ninamina,7.8.2012,2012
Polnjena / filana paprika,sesekljano meso,120,3,4-5 oseb,5,Llord,6.8.2012,2012
Polnjene bučke,ostalo,60,2,4 osebe,4,Andrejka27,31.7.2012,2012
Piščanec v omaki,perutnina,60,2,za 4 osebe,4,lunica321,29.7.2012,2012
Pečen piščanec,perutnina,75,2,,,Kamela,28.7.2012,2012
Mesni polpeti,mešano meso,15,1,10 polpetov,,anja4,27.7.2012,2012
Tatarski Biftek po Göttingensko,govedina,60,2,Za 4-6 oseb,5,malcomX,26.7.2012,2012
Mariniran piščanec za žar,perutnina,240,1,2 osebi,2,bannanna,13.7.2012,2012
Piščančje kračke ala Schavron,perutnina,15,2,za 4 osebe,4,Schavron,9.7.2012,2012
Piščanec na žaru »ala fasulas«,perutnina,75,3,2 osebi,2,fasulas,5.7.2012,2012
Goveji zrezki v zelenjavni omaki,,120,2, za 4 osebe,4,tancy1984,28.6.2012,2012
Zvitki v slastni zelenjavni omaki,perutnina,30,2,2 osebi,2,anamarija1,27.6.2012,2012
Zelena rižota s piščancem,perutnina,30,2,2 osebi,2,bannanna,24.6.2012,2012
"Piščanec ""izpod peke""",perutnina,75,2,3 osebe,3,bannanna,22.6.2012,2012
Mesna lazanja malo drugače,sesekljano meso,90,3,6 oseb,6,Chef91,14.6.2012,2012
Piščančje roladice,perutnina,60,2,4,4,redika,11.6.2012,2012
Chicago deep dish pizza,ostalo,60,2,za 4-6 oseb,5,anjasem,24.5.2012,2012
Piščanec v smetanovi omaki,perutnina,30,1,,,De7jadeja,17.5.2012,2012
Piščančji zrezki na hitro,perutnina,15,1,2,2,redika,15.5.2012,2012
Domači kebab,perutnina,30,1,4 OSEBE,4,natalijana,13.5.2012,2012
Domači hamburger,mešano meso,30,1,4 OSEBE,4,natalijana,12.5.2012,2012
Spomladanski piščanček,perutnina,15,2,1 oseba,1,Chef91,8.5.2012,2012
Francoski krompir s klobaso,ostalo,120,2,4 osebe,4,UB1985,8.5.2012,2012
Testenine z mortadelo,ostalo,15,1,4,4,branco,6.5.2012,2012
Katkin puran s papriko,perutnina,45,2,Za 4 osebe,4,Katka21,4.5.2012,2012
Rižota s šampinjoni in mletim piščančjim mesom,sesekljano meso,45,2,Za 6 oseb,6,lala92,26.4.2012,2012
Zrezki iz mletega mesa,mešano meso,45,1,4 osebe,4,arepnik,25.4.2012,2012
Perutninski paprikaš,perutnina,90,2,4 osebe,4,arepnik,25.4.2012,2012
Pečen zajec z zelenjavo,ostalo,75,2,3,3,darka56,24.4.2012,2012
Puran s čemažem,perutnina,30,3,4 osebe,4,JEKE,24.4.2012,2012
Polpete,mešano meso,90,2,Za 5 oseb,5,zes5ana,24.4.2012,2012
Kotlovina,svinjina,45,2,4 OSEBE,4,natalijana,23.4.2012,2012
Žlinkrofi,svinjina,75,2,Za 4 osebe,4,zes5ana,23.4.2012,2012
Dunajski zrezek,teletina,60,3,Za štiri osebe,,strnadc,18.4.2012,2012
Srce s korenjem,notranji deli,90,2,,,smrkica,18.4.2012,2012
Čevapčiči na palčkah,mešano meso,45,1,4 OSEBE,4,natalijana,18.4.2012,2012
Puranje kroglice s kvinojo v paradižnikovi omaki,perutnina,45,2,4 osebe,4,bannanna,17.4.2012,2012
Piščanec v slanini,perutnina,60,3,4 osebe,4,levinja1886,17.4.2012,2012
Musaka s hrenovkami,ostalo,90,3,Za 5 zelo lačnih ,,Tadeja1994,16.4.2012,2012
Kotleti z limono v plečki (mrenici),svinjina,120,2,3 osebe,3,taanjaa,19.1.2017,2017
Švedska slana torta  (Smörgåstårta),mešano meso,60,2,cca 20 porcij,20,terlikar 1,10.1.2017,2017
"Michoacan - golažu podobno, z mehiškim navdihom ",govedina,120,2,5-6 oseb,6,mamamia,5.1.2017,2017
Enostavni piščanec v smetanovi omaki z njoki,perutnina,30,1,,,tasty,29.12.2016,2016
Mesna rolada,mešano meso,60,2,4,4,pushte,26.12.2016,2016
Jesenska zloženka,perutnina,45,2,3-4,4,Chef_Edo,8.12.2016,2016
Pica s klobaso,ostalo,45,2,,,Fala Slonček,4.12.2016,2016
Svinjski kotleti ,svinjina,60,3,Za 5 oseb,5,IgorKoren,8.11.2016,2016
Krvavičin zavitek,koline,60,2,2 osebi,2,Pesjaner1,29.10.2016,2016
Kosovska ponev (tava),teletina,120,2,za šest oseb,,mamamia,28.10.2016,2016
Zrezki v smetanovi omaki po moje,perutnina,30,1,3 osebe,3,Vali3,9.10.2016,2016
Ražnjiči ,mešano meso,30,1,1 kg,,reispa,3.9.2016,2016
Kraljevi sendvič z žara,govedina,45,2,za 4 osebe,4,mira5,16.4.2012,2012
Piščančji zvitki z bučkami in panceto,perutnina,45,3,,,Zanap,15.4.2012,2012
Piščančji file s curryjem,perutnina,120,1,,,Zanap,15.4.2012,2012
Pikantne perutničke,ostalo,120,1,,,Zanap,15.4.2012,2012
Čili kon karne,mešano meso,45,1,za 2 osebi,2,ZvonkaK,12.4.2012,2012
Golaž na Magdin način,govedina,75,3,Za 8 oseb,8,burgy26,11.4.2012,2012
Teletina shish čevab,teletina,45,2,5 oseb,5,cazinjanko,8.4.2012,2012
Šunka v testu,svinjina,180,2,,,jiolpoš,7.4.2012,2012
Štručke,ostalo,75,2,10 kom,,berny134,5.4.2012,2012
Finnbiff,divjačina,30,2,,,lisicka,4.4.2012,2012
Zelenjavno mesni zavitek  - burek (dietni !!!),perutnina,45,1,cc 4 osebe,4,VesnaDejan,4.4.2012,2012
Tatarski biftek,ostalo,30,2,,,matejavres,4.4.2012,2012
Rižota,perutnina,45,2,za 3 osebe,3,zes5ana,2.4.2012,2012
Zrezki z gobami šitake,ostalo,30,2,,,Rok666,2.4.2012,2012
"Rižota s piščancem, zelenjavo in gobami šitake",perutnina,30,1,,,Rok666,2.4.2012,2012
Gratiniran ramstek z gobjo skorjo,govedina,60,3,,,Rok666,30.3.2012,2012
Telečja pečenka,teletina,120,1,,,Marina_M,27.3.2012,2012
Piščanec v omleti,perutnina,15,1,,,Sanja_G,20.3.2012,2012
Neprava lazanja,mešano meso,45,1,za 6 oseb,6,sabinčica,17.3.2012,2012
Čahohbili,perutnina,60,3,Za 4 osebe,4,666,17.3.2012,2012
Piščančji zrezki s smetano in sirom,perutnina,30,2,,,anja0000,16.3.2012,2012
Puranji rezanci v smetanovi omaki,perutnina,75,2,,,pikapolonica80,16.3.2012,2012
Gnezdeca iz mletega mesa,mešano meso,45,3,,,sabinčica,13.3.2012,2012
Piščančji zrezki s kokosom,perutnina,15,1,2-3 osebe,3,Gregorček,12.3.2012,2012
Pica burek,svinjina,60,1,za 4 osebe,4,sabinčica,8.3.2012,2012
Ocvrte pleskavice,mešano meso,45,1,,,Gdč Jasmina,8.3.2012,2012
Čufti z grahom,mešano meso,60,3,,,pilatus,7.3.2012,2012
Bolognese omaka,mešano meso,60,1,za 4 osebe,4,sabinčica,7.3.2012,2012
Goveji zrezki - steak mame Marije,govedina,15,1,3,3,dj kumina,5.3.2012,2012
Čufte,mešano meso,45,2,4,4,6goth6,2.3.2012,2012
Goveji golaž s suho praženo čebulo,govedina,90,2,,,darka56,1.3.2012,2012
Mleta pečenka,mešano meso,60,2,,,berny134,29.2.2012,2012
Krompirjeva musaka,ostalo,180,3,,,MakeSh00t,27.2.2012,2012
Rižota,govedina,90,2,za 4 osebe,4,ursiii,25.2.2012,2012
Klobase 'stiske',koline,60,3,,,manuela1986,23.2.2012,2012
Mesna omaka za špagete/makarone,sesekljano meso,60,2,,,zes5ana,15.2.2012,2012
Čufte,mešano meso,75,2,,,ketryn,14.2.2012,2012
Svinjska dobrota,svinjina,90,3,6 oseb,6,tanjaaa,13.2.2012,2012
Kunčja rižota,ostalo,75,1,za 4 osebe,4,vn1983,12.2.2012,2012
Pečen piščanec,perutnina,90,1,4,4,6goth6,10.2.2012,2012
Polnjena svinjska rebra,svinjina,180,2,za 3 lačne osebe,,zes5ana,9.2.2012,2012
Pizza z mletim mesom,ostalo,60,3,2,2,pikapolonica80,7.2.2012,2012
Piščanec in kislo zelje,perutnina,60,2,za 4 osebe,4,katja krašovec,7.2.2012,2012
Čimitanje,mešano meso,45,2,za 6 oseb 12 kosov,12,tajika7,6.2.2012,2012
Hokaido buča s krvavicami,koline,60,1,2-3,3,Sweetie,4.2.2012,2012
Piščančje prsi s panceto,perutnina,75,2,3 osebe,3,bannanna,4.2.2012,2012
Lepa rižota,svinjina,30,1,,,katrin11,2.2.2012,2012
Goveji zrezki malo drugače,govedina,60,1,za 4 osebe,4,Neža30,31.1.2012,2012
Kaneloni s piščančjim mesom,perutnina,90,4,,,bibica82,31.1.2012,2012
Piščančji file z brokolijem in korenjem,perutnina,45,1,4,4,ljuljak,31.1.2012,2012
Špinačna pita s piščancem,perutnina,180,2,8 kosov,8,sophia,28.1.2012,2012
Zrezki v pomarančno-gorčični omaki,svinjina,60,1,Za 4 osebe,4,ljuljak,26.1.2012,2012
Super buritto,govedina,45,3,4-6 lačnih oseb,,JUREVRTOJBA,23.1.2012,2012
Žrebičkovi zrezki v omaki po moje,ostalo,30,1,,,ubersolider,23.1.2012,2012
Hrenovke v krompirjevem testu,perutnina,90,3,,,morski vuk,20.1.2012,2012
Jogumeski,sesekljano meso,60,2,4 OSEBE,4,natalijana,19.1.2012,2012
Piščanec s česnom,perutnina,30,1,za štiri osebe,,mamamia,17.1.2012,2012
Telečja ribica v limonovi kremi,teletina,15,2,5 oseb,5,anamarija1,17.1.2012,2012
Zelenjavno mesna mavrica,svinjina,240,1,4 osebe,4,kikerada,14.1.2012,2012
Svinjska ribica v gorčični omaki,svinjina,15,1,za štiri osebe,,mamamia,14.1.2012,2012
Pečen kopun po kozjansko,perutnina,180,2,6,6,anicabidar,13.1.2012,2012
Puranji zrezki s sirom in smetano iz pečice,perutnina,60,1,4 osebe,4,contesa,12.1.2012,2012
Palačinke z mletim mesom in makaroni,svinjina,90,3,8 kosov,8,delfinaa,12.1.2012,2012
Domače kosilo - krvavice s praženim kislim zeljem in krompirjevimi žganci z ocvirki,koline,90,3,Za 4 osebe,4,JelkaKoselj,11.1.2012,2012
Kruhov narastek na način moje mame,ostalo,60,1,,,Djuki,10.1.2012,2012
Žrebičkov golaž,ostalo,240,3,,,bingooo,10.1.2012,2012
Pikantna paprika,ostalo,45,3,4 osebe,4,Djuki,9.1.2012,2012
Pečenka Wellington,teletina,75,3,4,4,6goth6,7.1.2012,2012
Svinjska pečenka,svinjina,120,2,4,4,6goth6,7.1.2012,2012
Polnjena svinjska ribica v vinski omaki,svinjina,90,2,Za 2 osebi,2,DobroJem,7.1.2012,2012
Okusne tortilje s piščančjim mesom,perutnina,45,1,,,ksopinger,6.1.2012,2012
Lazanja malo drugače,sesekljano meso,120,3,za 6 oseb,6,oblačkica,6.1.2012,2012
Piščanec na normandijski način,perutnina,60,2,,,Jernej_Tm,5.1.2012,2012
Piščančji zrezki v curry omaki z ananasom,perutnina,30,2,,,tornado2405,5.1.2012,2012
Piščanec z zelenjavo,perutnina,60,1,za 2 osebi,2,zes5ana,5.1.2012,2012
Paella,mešano meso,60,2,4 - 6 oseb,6,rjan,4.1.2012,2012
Piščančje ruladice,perutnina,30,1,4,4,silvia1,4.1.2012,2012
Svinjske zarebrnice s pomarančami,svinjina,60,3,za 6 osebe,6,ancika93,3.1.2012,2012
Pica iz Hoferjevih artiklov,ostalo,120,2,6 - 9 kosov,9,SilvaZizek,3.1.2012,2012
Piščančji zrezki v omaki,perutnina,60,1,4 OSEBE,4,natalijana,3.1.2012,2012
Koruzna sladica,mešano meso,75,3,za 6 oseb,6,Laurel,2.1.2012,2012
Boranija stročji fižol,perutnina,45,2,za 3 osebe,3,zes5ana,31.12.2011,2011
Mleto meso z barvito sočno zelenjavo,mešano meso,30,2,,,flafi,30.12.2011,2011
Pica na sto načinov,ostalo,60,1,3 osebe,3,zes5ana,30.12.2011,2011
Piščanec v šunki,perutnina,30,2,4 porcije,4,mijac,30.12.2011,2011
Srčki v omaki ,notranji deli,120,3,4 osebe,4,larisima,29.12.2011,2011
Švedske mesne kroglice,mešano meso,180,2,25 kroglic,,Vanja_v_ZDA,28.12.2011,2011
Rebrca po ameriško,svinjina,120,2,4,4,Lepa_Vida,28.12.2011,2011
Puranji ragu z gobami,perutnina,60,3,10,10,mayychy,27.12.2011,2011
Goveji file stroganov,govedina,75,3,10,10,mayychy,27.12.2011,2011
Puranji zrezki v pehtranovi omaki,perutnina,30,1,za 4 osebe,4,Soraya,25.12.2011,2011
Pizzazel  Larisima,sesekljano meso,75,3,8 kosov,8,larisima,25.12.2011,2011
Zrezki v zelenjavni omaki,perutnina,60,2,,,Urškaa,25.12.2011,2011
Pečen piščanec čira-čara,perutnina,120,4,za 4 osebe,4,larisima,20.12.2011,2011
Golaž s pisano papriko,govedina,180,2,za 4 osebe,4,xenya,14.12.2011,2011
Zelo okusni dunajci,perutnina,30,1,,,kikerada,12.12.2011,2011
Kitajsko zelje s puranom,perutnina,75,1,5 OSEB,5,ZDENKAGRE,12.12.2011,2011
Piščančja krila z vinom,perutnina,30,2,,,ognjic,11.12.2011,2011
Rezine iz piščančjega mesa v šunkinem zavitku,mešano meso,45,1,,,veronika_m,9.12.2011,2011
Kotleti z gorčico,svinjina,45,2,,,veronika_m,9.12.2011,2011
Piščančji pilav,perutnina,60,2,,,veronika_m,9.12.2011,2011
Svinjski file v omaki,svinjina,15,1,4 osebe,4,Migla,9.12.2011,2011
Rižota iz piščančjih kril,perutnina,30,1,,,ognjic,8.12.2011,2011
Rostbif s poprovo omako z viskijem,govedina,240,3,za 4 osebe,4,Mandi_doo,8.12.2011,2011
Kosilo v 30 minutah,perutnina,30,1,2-4 oseb,3,Mevl,8.12.2011,2011
Mesni nadevanček,perutnina,45,4,4 osebe,4,tomas1953,7.12.2011,2011
Dušen svinjski hrbet,mešano meso,90,4,6-8 oseb,7,Mevl,7.12.2011,2011
Goveji zrezki v grahovi omaki,govedina,120,2,za 2 osebi,2,anne85,6.12.2011,2011
Piščanec v gorgonzolni omaki,perutnina,30,2,,,kaycha,6.12.2011,2011
Musaka iz jajčevcev,govedina,75,2,,,aryy,5.12.2011,2011
Musaka iz 4 svinjskih zrezkov,svinjina,45,3,,,ognjic,5.12.2011,2011
Čufti  v zelenjavni omaki,sesekljano meso,45,3,Za 4 osebe,4,pery3,5.12.2011,2011
Polpete,mešano meso,60,3,,,6goth6,4.12.2011,2011
Musaka,sesekljano meso,90,2,,,timsavs,4.12.2011,2011
Smetanov piščanec z gobami,perutnina,45,2,3-4,4,morski vuk,2.12.2011,2011
Kunčja terina,ostalo,240,3,Za 10 do 20 oseb,20,sarabande,1.12.2011,2011
Goveji zrezki s kumaricami v ekonom loncu,govedina,60,3,za 4 osebe,4,aryy,1.12.2011,2011
Pretaknjena svinjska pečenka s kislim zeljem in krompirjem,svinjina,90,2,za 4 osebe,4,Vojko J,30.11.2011,2011
Odlična lazanja,,45,3,Za več ljudi 3,,dolinar,29.11.2011,2011
Polpeti v smetanovi omaki,,90,3,Za 4 osebe,4,rajko52,28.11.2011,2011
Hrenovkino cvrtje,ostalo,45,3,,,ančka habič,29.7.2016,2016
Piščančji trakci s sirovo omako na dolar krompirčku,perutnina,30,2,za dve osebi,2,Moro,11.7.2016,2016
Piščančji blues »ala fasulas«,perutnina,75,1,,,fasulas,2.7.2016,2016
Puran z gobicami v srajčki iz listnatega testa,perutnina,60,3,za 2 osebi,2,Moro,13.6.2016,2016
Indijski piščančji curry ,perutnina,120,2,za štiri osebe,,mamamia,8.6.2016,2016
"Čufti na ""moj način""",mešano meso,60,3,za 2 osebi,2,Moro,7.6.2016,2016
Blaga piščančja rižota z bučkami in korenčkom,perutnina,30,2,za 2 osebi,2,Moro,6.6.2016,2016
Lazanja z bučkami ,sesekljano meso,90,2,6-8,7,shari2007,5.5.2016,2016
Zarezani piščanec s porom,perutnina,60,2,,,janika13,17.4.2016,2016
Pičančje prsi v limonini omaki z zelenimi šparglji,perutnina,60,2,Za 6 oseb,6,sarabande,9.4.2016,2016
Telečja jetrca ,teletina,30,3,za 2 osebi,2,mmasa,29.3.2016,2016
Vratovina v mlečnem testu,svinjina,60,2,,,Fala Slonček,23.3.2016,2016
Pizzaiola po moje,,180,2,4,4,6goth6,27.11.2011,2011
Chili con carne,,30,2,,,Hanaah,25.11.2011,2011
Pečene perutničke,perutnina,60,2,,,kyra,22.11.2011,2011
Zrezki v vinski omaki z gobicami in korenčkom,,60,3,,,Alisa12,22.11.2011,2011
Pretikane piščančje prsi po mediteransko,perutnina,75,2,3-4 osebe,4,bannanna,21.11.2011,2011
Goveji zrezki v naravni omaki,,75,3,Za 4 osebe,4,kyra,20.11.2011,2011
Marinada 1 in 2 za meso na žaru,,15,1,za kg mesa,,oficir,18.11.2011,2011
Mini pica puranje roladice,,45,2,,,bannanna,18.11.2011,2011
Mini puranje roladice s pršutom,,45,2,,,bannanna,18.11.2011,2011
Kuskus v naravni omaki,perutnina,15,1,za 4 os.,,Esada,16.11.2011,2011
Puranje roladice v omaki,perutnina,60,2,4 osebe,4,bannanna,12.11.2011,2011
Piščančje meso v zanimivi omaki,perutnina,75,2,za 4 osebe,4,Sandra_a,12.11.2011,2011
Odojek pod peko,svinjina,240,2,Za 8 oseb,8,Dodl,11.11.2011,2011
Xxl cheesburger,mešano meso,15,1,2 osebe,2,kikerada,7.11.2011,2011
Ocvirki s čebulo po tržaško,svinjina,15,1,za 3 osebe,3,Lojze Pohar,6.11.2011,2011
Rižev narastek z mletim mesom,ostalo,75,2,,,pikapolonica80,6.11.2011,2011
Podvarak,mešano meso,75,2,2 osebi,2,bannanna,4.11.2011,2011
Hamburger,govedina,30,3,1 kos,1,dobrejedi,4.11.2011,2011
Polnjen zajec,ostalo,180,3,Za 4 osebe,4,zes5ana,3.11.2011,2011
Piška s šampinjoni,perutnina,30,1,2 osebe,2,kikerada,3.11.2011,2011
Božanski segedin,svinjina,120,2,4 osebe,4,kikerada,28.10.2011,2011
Piščančja peperonata,perutnina,30,2,2 osebi,2,bannanna,27.10.2011,2011
Rižota z mletim mesom ,sesekljano meso,45,3,3-4,4,Mirfas,26.10.2011,2011
Solata s piščancem,perutnina,30,2,4 osebe,4,dzoana,24.10.2011,2011
Piščanec z zeleno,perutnina,30,2,4 osebe,4,dzoana,24.10.2011,2011
Mesni retaš,govedina,90,2,4,4,mala Metka,14.10.2011,2011
Čebulni narastek,sesekljano meso,60,3,za 4 osebe,4,žgančki,10.10.2011,2011
Musaka po grško,sesekljano meso,180,2,8 kosov,8,buki34,10.10.2011,2011
Telečja rulada v zeliščni omaki z gobicami,teletina,180,2,za 6 oseb,6,Karolinca007,7.10.2011,2011
Polnjene paprike malo drugače,sesekljano meso,45,2,4 osebe,4,Trixi,1.10.2011,2011
Nadevane paprike,mešano meso,120,3,4 osebe,4,hrči,23.9.2011,2011
Juditina pečenka,svinjina,90,1,5-6 oseb,6,anamarija1,23.9.2011,2011
Puran z omako iz jogurta,perutnina,30,1,za 2 osebi,2,babalu22,21.9.2011,2011
Piščančja bedrca v tekilini marinadi,perutnina,120,2,4 bedrca,,katka lopatka,20.9.2011,2011
Kvinojin narastek s piščancem,perutnina,60,3,4 osebe,4,bannanna,17.9.2011,2011
Tajine tunisien,perutnina,60,2,za 4 osebe,4,Teya74,17.9.2011,2011
Sočna piščančja prsa iz pečice,perutnina,45,2,,,Vanja_v_ZDA,16.9.2011,2011
Piščančje blazinice,perutnina,120,2,Za 6 oseb,6,Asgard,16.9.2011,2011
Telečji zrezki z bučkami,teletina,30,2,za 4 osebe,4,aryy,15.9.2011,2011
Polnjeni paradižniki z mletim mesom,govedina,60,1,4 osebe,4,majacebelica,10.9.2011,2011
Kaneloni male Metke,mešano meso,60,2,4,4,mala Metka,7.9.2011,2011
Nadevane paprike in paradižnik,ostalo,60,2,,,aryy,6.9.2011,2011
Puran po kraljevsko s prilogo,perutnina,45,3,Za 4-6 oseb,5,oficir,31.8.2011,2011
Puranji zrezki v pehtranovi omaki,perutnina,60,2,Za 4 do 6 oseb,6,sarabande,23.8.2011,2011
Zekoslav mrkva,ostalo,60,3,za 5 oseb,5,femme fatale,20.8.2011,2011
Polnjene kumare,ostalo,75,3,ZA 4 OSEBE,4,NIKI100,15.8.2011,2011
Polpete iz pečice,govedina,30,1,4 osebe,4,majacebelica,12.8.2011,2011
Delavska večerja ,mešano meso,60,3,za 2 osebi,2,sančy,8.8.2011,2011
Hrenovke v listnatem testu,sesekljano meso,45,2,,,matejček,5.8.2011,2011
Ocvrti možgani,ostalo,45,2,,,matejček,4.8.2011,2011
Stročji fižol z mesom in jajci,sesekljano meso,90,1,,,zmesnjavca,2.8.2011,2011
Puranji zrezki v smetanovi omaki na hitro,perutnina,15,2,4,4,anchika1,31.7.2011,2011
Pražen krompir z ocvirki ,perutnina,90,3,2 ,2,alen1993,28.7.2011,2011
Mantije,govedina,60,3,,,adikaa,28.7.2011,2011
Podpeka,ostalo,90,2,,,mateja.vidic,26.7.2011,2011
Nadev za tortilje,perutnina,45,2,Za 2 osebi,2,zes5ana,18.7.2011,2011
Polnjeni zrezki,perutnina,30,2,za 4 osebe,4,us24u,12.7.2011,2011
Pečena piščančja bedra z mediteranskim krompirjem,perutnina,120,1,Za 6 oseb,6,sarabande,9.7.2011,2011
Polnjene bučke in paprike s pečenim krompirjem,mešano meso,60,3,,,mala Metka,6.7.2011,2011
Osso buco,govedina,180,3,Za 4 osebe.,,sarabande,2.7.2011,2011
Kotlovina ,mešano meso,120,3,11 kilogramov,,pjurjavcbohor,1.7.2011,2011
Nadev iz dežele Petra Klepca,ostalo,180,1,Za več oseb,,kapri,30.6.2011,2011
